File, Method
form1.vb,Sub cmdEnde_Click
form1.vb,Function Zufallszahlen
form1.vb,Sub check
form1.vb,Sub Form1_Load
form1.vb,Sub rad2_CheckedChanged
form1.vb,Sub txtSumme_KeyPress
form1.vb,Sub cmdCheck_Click
form1.vb,Sub cmdNeueZahl_Click
form2.vb,Sub cmdLoad_Click
form2.vb,Sub cbDateien_SelectedIndexChanged
form2.vb,Sub rdOriginal_CheckedChanged
form2.vb,Sub cmdBack_Click
form2.vb,Function cmdNext_Click
submodule.vb,Sub Button1_Click
submodule.vb,Sub Button1_Click
